id,date,day,trading,data available,price,spread-low,spread-high,event
OT010,1912-06-24T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-25T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-26T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-27T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-28T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-29T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-06-30T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-07-01T00:00:00Z,Monday,TRUE,TRUE,NA,0-10/16,0-14/16,NA
OT010,1912-07-02T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-10/16,0-14/16,NA
OT010,1912-07-03T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-10/16,0-14/16,NA
OT010,1912-07-04T00:00:00Z,Thursday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-05T00:00:00Z,Friday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-06T00:00:00Z,Saturday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-07T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-07-08T00:00:00Z,Monday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-09T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-10T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-11T00:00:00Z,Thursday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-12T00:00:00Z,Friday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-13T00:00:00Z,Saturday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-14T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-07-15T00:00:00Z,Monday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-16T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-17T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-18T00:00:00Z,Thursday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-19T00:00:00Z,Friday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-20T00:00:00Z,Saturday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-21T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-07-22T00:00:00Z,Monday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-23T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-24T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-25T00:00:00Z,Thursday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-26T00:00:00Z,Friday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-27T00:00:00Z,Saturday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-28T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-07-29T00:00:00Z,Monday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-07-30T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-07-31T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-01T00:00:00Z,Thursday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-02T00:00:00Z,Friday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-03T00:00:00Z,Saturday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-04T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-08-05T00:00:00Z,Monday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-06T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-07T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-08T00:00:00Z,Thursday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-09T00:00:00Z,Friday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-10T00:00:00Z,Saturday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-11T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-08-12T00:00:00Z,Monday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-13T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-14T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-15T00:00:00Z,Thursday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-16T00:00:00Z,Friday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-17T00:00:00Z,Saturday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-18T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-08-19T00:00:00Z,Monday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-20T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-21T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-22T00:00:00Z,Thursday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-23T00:00:00Z,Friday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-24T00:00:00Z,Saturday,TRUE,FALSE,NA,NA,NA,NA
OT010,1912-08-25T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-08-26T00:00:00Z,Monday,TRUE,TRUE,NA,0-11/16,0-13/16,NA
OT010,1912-08-27T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-08-28T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-08-29T00:00:00Z,Thursday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-08-30T00:00:00Z,Friday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-08-31T00:00:00Z,Saturday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-01T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-09-02T00:00:00Z,Monday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-03T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-04T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-05T00:00:00Z,Thursday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-06T00:00:00Z,Friday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-07T00:00:00Z,Saturday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-08T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-09-09T00:00:00Z,Monday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-10T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-3/4,0-7/8,NA
OT010,1912-09-11T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-12T00:00:00Z,Thursday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-13T00:00:00Z,Friday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-14T00:00:00Z,Saturday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-15T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-09-16T00:00:00Z,Monday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-17T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-18T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-19T00:00:00Z,Thursday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-20T00:00:00Z,Friday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-21T00:00:00Z,Saturday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-22T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-09-23T00:00:00Z,Monday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-24T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-25T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-26T00:00:00Z,Thursday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-27T00:00:00Z,Friday,TRUE,TRUE,NA,0-13/16,0-15/16,NA
OT010,1912-09-28T00:00:00Z,Saturday,TRUE,TRUE,NA,0-13/16,0-7/8,NA
OT010,1912-09-29T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-09-30T00:00:00Z,Monday,TRUE,TRUE,NA,0-13/16,0-7/8,NA
OT010,1912-10-01T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-13/16,0-7/8,NA
OT010,1912-10-02T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-13/16,0-7/8,NA
OT010,1912-10-03T00:00:00Z,Thursday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-04T00:00:00Z,Friday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-05T00:00:00Z,Saturday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-06T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-10-07T00:00:00Z,Monday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-08T00:00:00Z,Tuesday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-09T00:00:00Z,Wednesday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-10T00:00:00Z,Thursday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-11T00:00:00Z,Friday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
OT010,1912-10-12T00:00:00Z,Saturday,TRUE,TRUE,NA,0-25/32,0-27/32,NA
